STT,Nhóm / Cây quyết định,Điều kiện / Trigger,Kết quả / Hành động,Tham số / Giá trị,Guardrail / Edge case / Ghi chú,File nguồn (kiểm chứng)
2,Trích xuất,"process_document(file_bytes, filename, doc_type, user_id)","Parse: medications (tên+hàm lượng, max 5), metrics (HbA1c,HA_tam_thu,HA_tam_truong,glucose,cholesterol), tên BN/BS, ngày",Regex pattern cho mỗi field,Tối đa 5 thuốc (matches[:5]),"upload/service.py L51-L56, L86-L113"
3,DocType enum,Giá trị DocType trong code THỰC TẾ,prescription / lab_result / medical_book / ultrasound / vaccination,Đơn thuốc / Xét nghiệm / Sổ khám / Siêu âm / Tiêm chủng,"⚠ Script gốc ghi rx/lab/book/echo/vacc — đó là key onboarding, KHÔNG phải DocType enum",upload/models.py L7-L12
,,,,,,
,████  17. ADHERENCE CROSS-CHECK,,,,,
1,So khớp,AdherenceCrossCheck.validate_user(user_id),"So adherence meds vs purchase meds (90 ngày adherence, 30 purchases)",adherence_meds = set từ evt.medicationName; purchase_meds = set từ p.items[].name,⚠ Query top-level 'adherenceEvents' + 'purchases' — khác schema subcollection garden,adherence/cross_check.py L9-L91
2,Flag medium,adherence_only (adherence_meds - purchase_meds),Khai uống thuốc nhưng KHÔNG có trong lịch sử mua,"severity='medium', type='adherence_without_purchase'",Audit adherence_cross_check nếu có flag,adherence/cross_check.py L58-L64
3,Flag low,purchase_only (purchase_meds - adherence_meds),Mua thuốc nhưng KHÔNG ghi nhận uống,"severity='low', type='purchase_without_adherence'",,adherence/cross_check.py L66-L72
,,,,,,
,"████  18. ACHIEVEMENTS / BADGES (8 huy hiệu — chỉ hành vi, Rule #0)",,,,,
1,Badge,streak ≥ 1,Mầm Xanh Đầu Tiên 🌱,"id=first_water, gradient=['#22C55E','#16A34A']","Trigger thuần hành vi, không y khoa. checkNewAchievements(state, alreadyUnlocked)",config/achievements.js L4-L68
2,Badge,streak ≥ 7,Tuần Lễ Vàng 🔥,"id=streak_7, gradient=['#F59E0B','#D97706']","Trigger thuần hành vi, không y khoa. checkNewAchievements(state, alreadyUnlocked)",config/achievements.js L4-L68
3,Badge,streak ≥ 30,Tháng Thói Quen 🏆,"id=streak_30, gradient=['#8B5CF6','#7C3AED']","Trigger thuần hành vi, không y khoa. checkNewAchievements(state, alreadyUnlocked)",config/achievements.js L4-L68
4,Badge,plantLevel ≥ 2,Cây Lớn Mạnh 🌿,"id=level_up, gradient=['#10B981','#059669']","Trigger thuần hành vi, không y khoa. checkNewAchievements(state, alreadyUnlocked)",config/achievements.js L4-L68
5,Badge,≥1 thành viên (không phải mình) đã join (filter !isMe && state!='PENDING'),Vườn Nhà Đầy Đủ 🏡,"id=family_joined, gradient=['#3B82F6','#2563EB']","Trigger thuần hành vi, không y khoa. checkNewAchievements(state, alreadyUnlocked)",config/achievements.js L4-L68
6,Badge,wateredForOthers ≥ 1,Người Thân Chu Đáo 💧,"id=water_for_family, gradient=['#06B6D4','#0891B2']","Trigger thuần hành vi, không y khoa. checkNewAchievements(state, alreadyUnlocked)",config/achievements.js L4-L68
7,Badge,vouchersRedeemed ≥ 1,Thu Hoạch Đầu Mùa 🎁,"id=voucher_redeemed, gradient=['#EC4899','#DB2777']","Trigger thuần hành vi, không y khoa. checkNewAchievements(state, alreadyUnlocked)",config/achievements.js L4-L68
8,Badge,points ≥ 100,Tích Lũy 100 Điểm ⭐,"id=points_100, gradient=['#EAB308','#CA8A04']","Trigger thuần hành vi, không y khoa. checkNewAchievements(state, alreadyUnlocked)",config/achievements.js L4-L68
,,,,,,
,████  19. BUSINESS MODEL / LTV / MOAT (plan_v3 §7),,,,,
1,LTV,Công thức,400.000đ × 1 lần/tháng × 30% margin × 12 tháng = 1.440.000đ (trần),,,plan_v3.md
2,Phòng thủ 1,Churn prediction,Behavioral data → churn prediction → re-engage trước khi mất user,,,plan_v3.md
3,Phòng thủ 2,Retained revenue,"Khóa dòng tiền vào Long Châu, ngăn chảy sang đối thủ",,,plan_v3.md
4,Phòng thủ 3,CAC/LTV,LTV/CAC > 3 → CAC < 400k. Family viral: 1 user mời 2.3 thành viên,,,plan_v3.md
5,Switching cost,Công thức,Thói quen (streak) + Lịch sử sức khỏe + Quan hệ gia đình + Điểm tích lũy,,,plan_v3.md
6,Retention loop,Vòng lặp,Habit Done → Cây lớn → Level Up → Voucher → Mua thuốc → Refill Alert → (Family Reminder/Push) → Habit Done,,,plan_v3.md
,,,,,,
,████  20. EDGE CASES & ERROR HANDLING (plan_v3 §2.3-2.4 + kiểm chứng code),,,,,
1,Edge case,B đã làm habit trước khi A tưới,'Bố/mẹ đã hoàn thành rồi!' — không gửi push (plan_v3),,Chưa implement check trong water_for_member,plan_v3.md + source code
2,Edge case,A tưới nhiều lần/ngày 1 người,Giới hạn 1 lần/ngày/thành viên,,Dedup water_logs/{date}/logs/{sender_target} — family/service.py L234-L237,plan_v3.md + source code
3,Edge case,B tắt push,Lưu pending_notifications + badge đỏ (plan),,pending_notifications stored — notification/service.py L99-L102,plan_v3.md + source code
4,Edge case,2 người cùng tưới B,Race → 1 push (first-write-wins Firestore),,log_ref.get().exists check — family/service.py L236,plan_v3.md + source code
5,Edge case,Trẻ <10 trong family,"Plant do bố/mẹ quản, không push cho trẻ (plan)",,Chưa implement trong code,plan_v3.md + source code
6,Edge case,Thành viên rời nhóm,"Cây biến mất, điểm giữ nguyên (plan)",,Chưa implement leave_family,plan_v3.md + source code
7,Edge case,Family > 6 người,Chặn join (max 6) / scroll horizontal,,len(members) >= 6 → reject — family/service.py L185-L186,plan_v3.md + source code
8,Edge case,FCM token expired,Re-register khi mở app,,requestNotificationPermission + registerFCMToken — AppContext.jsx L508-L537,plan_v3.md + source code
9,Edge case,FCM send fail,"Retry 3 lần backoff (plan), fallback in-app bell",,"Code: no retry, chỉ print error — notification/service.py L116-L117",plan_v3.md + source code
10,Edge case,Invite hết hạn,'Link mời đã hết hạn.',,datetime.now(timezone.utc) > expires_at — family/service.py L167-L168,plan_v3.md + source code
11,Edge case,Backend timeout,"Frontend optimistic 'Đã gửi ✓', retry async (plan)",,waterHabit optimistic update + rollback on error — AppContext.jsx L93-L120,plan_v3.md + source code
12,Edge case,Glucose >250 / <70,Flag DS ngay (KHÔNG tự chẩn đoán) (plan),,Chưa implement — chỉ lưu raw health_metrics,plan_v3.md + source code
13,Edge case,BP >180/110 / <90/60,Flag DS chuyên trách (plan),,Chưa implement — chỉ lưu raw,plan_v3.md + source code
14,Edge case,Thai <12 hoặc >36 tuần,KHÔNG nhắc bài tập nặng (plan),,Chưa implement,plan_v3.md + source code
,,,,,,
,████  21. FIRESTORE DATA MODEL (kiểm chứng từ code),,,,,
,Collection/Document,users/{uid},"Root user (uid, phone, fullName, role, fcmToken, fcmTokenUpdatedAt, createdAt, updatedAt)",,,Firestore
,Collection/Document,users/{uid}/profile/info,"Hồ sơ (gender, yearOfBirth, healthStatus, familyId, careFor, exercise, chronicSubConditions, badHabits, lifeChanges, createdAt)",,,Firestore
,Collection/Document,users/{uid}/carePlans/plan-1,"Care plan (plantType, plantStatus, plantGroup, plantLabel, plantEmoji, plantLevel, habits[], pharmacistApproved, needsPharmacist, habitSource, aiSummary, stageNames[], journeyType, journeyLabel, conditionSource, conditionVerifiedBy, createdAt, approvedAt, rejectedAt, rejectReason, pharmacistNote)",,,Firestore
,Collection/Document,users/{uid}/adherenceEvents/{auto},"Sự kiện tưới (eventType='water', habitId, pointsEarned=10, timestamp, simulated?)",,,Firestore
,Collection/Document,users/{uid}/loyaltySummary/info,"Điểm (totalPoints, familyPoints, tier, voucherHistory[{id,redeemedAt}])",,,Firestore
,Collection/Document,users/{uid}/healthConditions/cond-{i},"Tình trạng (condition='chronic', subCondition, source='self_report', createdAt)",,,Firestore
,Collection/Document,users/{uid}/health_metrics/{date},"Dữ liệu Google Fit (date, source='google_fit', raw:{steps_7d,heart_rate_7d,weight_latest,sleep_7d}, synced_at)",,,Firestore
,Collection/Document,users/{uid}/integrations/google_fit,"OAuth tokens (connected, access_token, refresh_token, token_expiry, scopes[], connected_at, last_synced_at)",,,Firestore
,Collection/Document,users/{uid}/push_count/{date},"Đếm push trong ngày (count, date) — rate limit",,,Firestore
,Collection/Document,users/{uid}/pending_notifications/{auto},"Push chờ gửi khi chưa có token (title, body, data, createdAt)",,,Firestore
,Collection/Document,users/{uid}/prescriptions/{auto},"Đơn thuốc (đọc bởi pharmacist, chưa rõ schema ghi)",,,Firestore
,Collection/Document,users/{uid}/purchases/{auto},"Lịch sử mua (date, items[], đọc bởi pharmacist, order DESC)",,,Firestore
,Collection/Document,users/{uid}/familyMembers/{id},"Legacy family members (từ onboarding, ít dùng)",,,Firestore
,Collection/Document,families/{auto},"Gia đình (name='Gia đình', members[], totalPoints, createdAt)",,,Firestore
,Collection/Document,invites/{token},"Invite (familyId, createdBy, expiresAt, used, usedBy)",,,Firestore
,Collection/Document,water_logs/{date}/logs/{sender_target},"Dedup tưới hộ (senderId, targetId, senderName, plantName, timestamp)",,,Firestore
,Collection/Document,pharmacistQueue/draft-{uid},"Hàng đợi DS (userId, status, priority, plantGroup, plantType, plantLabel, healthStatus, chronicSubConditions, aiSummary, submittedAt, reviewedBy, reviewedAt, pharmacistNote, rejectReason, escalatedAt, escalationReason)",,,Firestore
,Collection/Document,insights/{auto},"Thông báo/insight gửi KH (userId, type, title, body, read, generatedAt, plantType?, plantLabel?, reason?)",,,Firestore
,Collection/Document,medical_audit_log/{auto},"Log bất biến (action, userId, timestamp, + context fields tùy action)",,,Firestore
,Collection/Document,plantGroups/{Gx},"15 nhóm cây Firestore-backed (plant, label, emoji, needsPharmacist)",,,Firestore
,Collection/Document,diseaseToPlant/{cond},Mapping bệnh → cây (plantType),,,Firestore
,Collection/Document,habitCatalog/{Gx},"Catalog thói quen theo nhóm (groupId, label, habits[])",,,Firestore
,,,,,,
,████  22. API ENDPOINTS MAP (kiểm chứng từ main.py),,,,,
,POST,/api/auth/login,Đăng nhập phone → custom token,,Router: auth,main.py L32-L45
,POST,/api/onboarding/submit,Gán cây + tạo care plan,,Router: onboarding,main.py L32-L45
,GET,/api/garden/,"Tóm tắt vườn (plant, points, streak, habits, stage)",,Router: garden,main.py L32-L45
,POST,/api/garden/water,Tưới cây +10đ (habitId),,Router: garden,main.py L32-L45
,POST,/api/garden/simulate-streak,Demo tăng streak (fill 7 ngày),,Router: garden,main.py L32-L45
,GET,/api/garden/badges,Badges theo streak,,Router: garden,main.py L32-L45
,GET,/api/garden/streak,Raw adherenceEvents list,,Router: garden,main.py L32-L45
,GET,/api/family/,Thông tin gia đình + members garden data,,Router: family,main.py L32-L45
,POST,/api/family/invite,Tạo link mời (7 ngày TTL),,Router: family,main.py L32-L45
,POST,/api/family/join,Tham gia bằng token,,Router: family,main.py L32-L45
,POST,/api/family/water/{memberId},Tưới hộ +5đ,,Router: family,main.py L32-L45
,GET,/api/family/calendar,Family calendar events,,Router: calendar,main.py L32-L45
,GET,/api/careplan/,Tất cả care plans,,Router: careplan,main.py L32-L45
,POST,/api/careplan/,Tạo care plan mới,,Router: careplan,main.py L32-L45
,PATCH,/api/careplan/{planId},Update care plan fields,,Router: careplan,main.py L32-L45
,PATCH,/api/careplan/{planId}/habits/{habitId},Toggle habit (active/done),,Router: careplan,main.py L32-L45
,POST,/api/careplan/{planId}/habits,Thêm custom habit,,Router: careplan,main.py L32-L45
,GET,/api/voucher/,Tất cả voucher (ALL_VOUCHERS),,Router: voucher,main.py L32-L45
,GET,/api/voucher/targeted,Voucher theo cây (PLANT_VOUCHER_MAP),,Router: voucher,main.py L32-L45
,POST,/api/voucher/redeem/{voucherId},Đổi voucher (whitelist check),,Router: voucher,main.py L32-L45
,GET,/api/pharmacist/queue,Hàng đợi DS (pending),,Router: pharmacist,main.py L32-L45
,GET,/api/pharmacist/customer/{uid},Chi tiết KH cho DS,,Router: pharmacist,main.py L32-L45
,POST,/api/pharmacist/approve/{draftId},DS duyệt care plan,,Router: pharmacist,main.py L32-L45
,POST,/api/pharmacist/reject/{draftId},DS từ chối care plan,,Router: pharmacist,main.py L32-L45
,GET,/api/notification/,Danh sách insight/notification,,Router: notification,main.py L32-L45
,POST,/api/notification/register-token,Đăng ký FCM token,,Router: notification,main.py L32-L45
,PATCH,/api/notification/{id}/read,Đánh dấu đã đọc,,Router: notification,main.py L32-L45
,GET,/api/fitness/auth-url,OAuth URL Google Fit,,Router: fitness,main.py L32-L45
,GET,/api/fitness/callback,OAuth callback,,Router: fitness,main.py L32-L45
,POST,/api/fitness/sync,Đồng bộ dữ liệu sức khỏe,,Router: fitness,main.py L32-L45
,POST,/api/ai/ocr-extract,OCR đơn thuốc/giấy tờ,,Router: ai,main.py L32-L45
,POST,/api/ai/summary,AI summary,,Router: ai,main.py L32-L45
,POST,/api/scheduler/daily-reminders,Cron nhắc 20:00,,Router: scheduler,main.py L32-L45
,POST,/api/scheduler/weekly-insights,AI insights hàng tuần,,Router: scheduler,main.py L32-L45
,POST,/api/scheduler/refill-check,Nhắc refill thuốc,,Router: scheduler,main.py L32-L45
,POST,/api/scheduler/sla-escalation,SLA escalation check,,Router: scheduler,main.py L32-L45
,GET/POST,/api/purchase/,Lịch sử mua thuốc,,Router: purchase,main.py L32-L45
,POST,/api/upload/,Upload file,,Router: upload,main.py L32-L45
,GET,/api/calendar/,Calendar events,,Router: calendar,main.py L32-L45
,GET,/api/health,Health check endpoint,,Router: main.py,main.py L32-L45
,,,,,,
,████  23. DEMO FLOW — 5 BƯỚC WOW (demo_presentation_playbook.md),,,,,
1,Onboarding AI,Nhập hồ sơ + quét đơn,AI tạo Health ID → gợi ý cây Gừng → GerminationScreen nảy mầm + confetti,1.5 phút,Wow: hạt giống lớn qua 5 giai đoạn animation,demo_playbook
2,Daily Loop,Tick habit cuối ngày,Mascot ăn mừng + confetti + toast '100% hôm nay',1.5 phút,waterHabit → optimistic update → backend sync,demo_playbook
3,Family — Tưới hộ,Bấm cây Bố (xám),Push 'Con đã tưới cây Gừng cho bạn' → cây xanh + '+5 điểm gia đình',1.5 phút,Social moat: family engagement,demo_playbook
4,Health device,Tab Trái tim,4 chỉ số từ Apple Watch/Google Fit + Wellness Insight Card,1 phút,"Rule #0 compliant: chỉ hiển thị data, không chẩn đoán",demo_playbook
5,Pharmacist HITL,Dashboard DS,Danh sách chờ → xem tương tác thuốc → Approve,1.5 phút,"AI phụ, DS chính + SLA đếm ngược",demo_playbook
,,,,,,
,████  24. BUG / INCONSISTENCY PHÁT HIỆN (KIỂM CHỨNG TỪ SOURCE CODE),,,,,
1,Plant assign order: Backend vs Frontend,"Backend: tuổi (age<18, ≥60) TRƯỚC pregnant; Frontend: pregnant TRƯỚC tuổi","KH mang thai <18 hoặc ≥60: backend → basil/aloe, frontend → lotus. Cần thống nhất.",Backend: onboarding/service.py L146-L151; Frontend: plantAssignment.js L67-L69,Frontend có thêm nhánh 'chronic without subs' → G3 mà backend không có,CRITICAL — kết quả khác nhau cho cùng input
2,Voucher key mismatch: bitter_melon vs bittermelon,PLANT_VOUCHER_MAP key = 'bitter_melon' (có _) nhưng plantType lưu = 'bittermelon' (không _),KH tiểu đường (G3) KHÔNG nhận targeted voucher → rơi về default (probiotic+vacc),voucher/service.py L28 key='bitter_melon' vs onboarding/service.py L17 plant='bittermelon',Fix: đổi key thành 'bittermelon' trong PLANT_VOUCHER_MAP,MEDIUM — mất personalization cho KH G3
3,Invite TTL: plan_v3 vs code,"Doc ghi 72h, code set timedelta(days=7) = 168h",Tài liệu lệch code,family/service.py L135,Fix: align doc hoặc code,LOW — feature vẫn hoạt động
4,AUTO_APPROVE_GROUPS: unused constant,careplan/service.py L10: AUTO_APPROVE_GROUPS khai báo nhưng luồng thực dùng _get_medical_groups() (phần bù),Dư thừa — không ảnh hưởng logic,careplan/service.py L10,Cleanup: xóa hoặc dùng để validate,LOW — dead code
5,Scheduler refill-check: wrong collection path + fields,Query top-level db.collection('adherenceEvents') + field 'type'/'date' — nhưng schema thực tế là subcollection users/{uid}/adherenceEvents + field 'eventType'/'timestamp',Refill check có thể không trả kết quả → bỏ lỡ nhắc refill,scheduler/router.py L141-L147 vs garden/service.py L106-L112,"Fix: query subcollection users/{uid}/adherenceEvents, đổi field name",HIGH — feature silent fail
6,Adherence cross-check: wrong collection path,Query top-level db.collection('adherenceEvents') + db.collection('purchases') — nhưng garden dùng subcollection,Cross-check có thể không tìm thấy data → luôn return isConsistent=True,adherence/cross_check.py L20-L37,Fix: query subcollection hoặc tạo top-level index,HIGH — feature silent fail
7,Family water points: set merge vs Increment,garden/service.py dùng Increment(10) cho water; family/service.py dùng set(merge=True) với totalPoints: current+5,Race condition: 2 người tưới đồng thời → mất điểm (set overwrites),family/service.py L277 vs garden/service.py L119,Fix: dùng Increment(5) thay vì manual read+write,MEDIUM — data inconsistency under concurrency
8,PLANT_STATUS: validation.py có 'graduated' nhưng code chỉ dùng 'pending'/'growing'/'paused',"PLANT_STATUS = {'pending','growing','paused','graduated'} — 'graduated' chưa bao giờ được set",Feature planned nhưng chưa implement,shared/validation.py L11,,LOW — future feature
9,DocType enum vs onboarding OCR keys,"upload/models.py DocType: 'prescription','lab_result','medical_book','ultrasound','vaccination'","Nhưng onboarding/service.py L301-L305 dùng key: 'rx','lab','book','echo','vacc'",Hai hệ thống key — cần mapping layer,upload/models.py L7-L12 vs onboarding/service.py L301-L305,LOW — works vì OCR parse raw text không phụ thuộc DocType key
10,"FCM retry: plan says 3 retries, code has 0",plan_v3 ghi 'Retry 3 lần backoff' nhưng code chỉ try/except → print error,"FCM fail = push mất, không retry",notification/service.py L106-L117,Fix: thêm retry loop với exponential backoff,MEDIUM — reliability
11,Pending notifications drain: not implemented,"Khi user đăng ký FCM token, pending_notifications không được gửi lại",User miss push khi chưa có token,notification/service.py L99-L102 (store) vs register_device L50-L57 (no drain),Fix: thêm drain logic trong register_device,MEDIUM — UX gap
